"Data Source","World Development Indicators",

"Last Updated Date","2025-12-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Price level ratio of PPP conversion factor (GDP) to market exchange rate","PA.NUS.PPPC.RF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.515849815994341","0.526992178878508","0.534944969276287","0.550255880899093","0.572629068289184","0.579803423428257","0.587938271815832","0.599380891699916","0.63179722539914","0.636625098090419","0.628973694073559","0.649748660567201","0.668179513387872","0.675221615802419","0.676016069242508","0.688679918907682","0.691355632498235","0.707898439520514","0.72412054864548","0.731939888309374","0.71430444101862","0.727899780486547","0.736741127648223","0.719008021782698","0.73280502011743","0.763303791019128","0.759784686729285","0.757897566150687","0.765701445787313","0.79509039830895","0.788775769025922","0.761985246029648","0.741782040710257","0.766918860463011","0.779844794330888",
"Africa Eastern and Southern","AFE","Price level ratio of PPP conversion factor (GDP) to market exchange rate","PA.NUS.PPPC.RF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Price level ratio of PPP conversion factor (GDP) to market exchange rate","PA.NUS.PPPC.RF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.215021739766249","0.185514296386488","0.193149006563114","0.205665899110767","0.228237965423844","0.236211538527174","0.244437624894453","0.292337074372542","0.286211074303551","0.287804316102624","0.31753578596152","0.347863295726007","0.327603869657351","0.298647465611095","0.280987881083867","0.247614251046152","0.23589670774426","0.224963910315426","0.202007124113082","0.192221917434848","0.199371857842555","0.166263302067621","0.168281609531498","0.187924599142549","",
"Africa Western and Central","AFW","Price level ratio of PPP conversion factor (GDP) to market exchange rate","PA.NUS.PPPC.RF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Price level ratio of PPP conversion factor (GDP) to market exchange rate","PA.NUS.PPPC.RF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.361624893655114","0.327061810208545","0.266069634893223","0.237413699810021","0.176478330431934","0.187574969349051","0.220448479671169","0.205289671412762","0.164954005185291","0.150536103206644","0.211941177388846","0.19469178335913","0.235556989078662","0.262288629503035","0.304247766973162","0.396240750508469","0.486961255214062","0.522454811226139","0.62580701597001","0.504339864163618","0.553403709716466","0.687772640450927","0.691511467071733","0.66892231890813","0.626511613384655","0.451408159659843","0.264176316567577","0.348542002652781","0.345489998832843","0.290879978262779","0.224768108944545","0.259967838981942","0.384023830652546","0.298980529550949","0.263462542055516",
"Albania","ALB","Price level ratio of PPP conversion factor (GDP) to market exchange rate","PA.NUS.PPPC.RF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.28258796394954","0.205788913502936","0.128579999573086","0.208362451468401","0.298914903124374","0.328263285794124","0.334381211653082","0.264020484277144","0.269374731725782","0.29762191055549","0.29178829234339","0.29800412667439","0.305729852859617","0.369198675374865","0.437295573399254","0.455865044627123","0.452711140834634","0.493483159452312","0.53115677182158","0.466838530011349","0.425294690191961","0.434683755269774","0.403526948687545","0.41746965537888","0.406655042417948","0.338947716570505","0.341435721464334","0.35479637576784","0.391740625940434","0.369146777376543","0.370091204057658","0.397656260890278","0.352069700274593","0.403287824417806","0.426242583891839",
"Andorra","AND","Price level ratio of PPP conversion factor (GDP) to market exchange rate","PA.NUS.PPPC.RF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.785409243012296","0.796942715370497","0.843921142479902","0.693292693366015","0.669880582589683","0.739671588696373","0.720761863956276","0.626613827623652","0.616389337103443","0.597509126941335","0.651867217245553","0.63724126324836","0.683942927383336","0.827833050514314","0.91347457710052","0.915922139074448","0.927742369371362","1.01757471059209","1.09575365337388","1.03414636103954","0.974771702576524","1.00475995192047","0.912038973877695","0.93117823660321","0.914732932064632","0.761925586463509","0.755596513146232","0.766187736111715","0.775093218135611","0.717838481504384","0.717161024830467","0.715053622899888","0.619453789098993","0.652613825597164","0.657912928107124",
"Arab World","ARB","Price level ratio of PPP conversion factor (GDP) to market exchange rate","PA.NUS.PPPC.RF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Price level ratio of PPP conversion factor (GDP) to market exchange rate","PA.NUS.PPPC.RF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.301961107426116","0.294451752485516","0.293092825067543","0.289965532769842","0.283158451176453","0.288180561676777","0.299337192787529","0.29146051762246","0.275846367024286","0.29496309972147","0.321482300162298","0.307016629303975","0.313718564062954","0.320173232968997","0.338295449826938","0.382218894452605","0.415138301758963","0.454848550287769","0.52895579549847","0.445894353088896","0.526259292885912","0.579062865006023","0.595771265536419","0.608356864722832","0.602727497747564","0.607010736701618","0.610414933757808","0.622260156661334","0.608620471577811","0.575554200465214","0.568818104680986","0.643313052785729","0.676150758480923","0.639477884150295","0.634536240354415",
"Argentina","ARG","Price level ratio of PPP conversion factor (GDP) to market exchange rate","PA.NUS.PPPC.RF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.602842701763606","0.717154038751569","0.783353878406485","0.731791622015032","0.736171486524754","0.743875471066843","0.730119100894244","0.714412313957507","0.694425180472247","0.672159933949251","0.664089244713395","0.642348668915945","0.258171365807869","0.303700588486993","0.350068749224564","0.376362707784737","0.395415468069887","0.436657685676805","0.517696128956732","0.503658220291659","0.574874210860623","0.66497195531362","0.666466239450322","0.650493382001246","0.627745774331629","0.687447782840901","0.631657865947359","0.62144344185593","0.481467070966957","0.423355375548655","0.381166737382459","0.408285397167516","0.468391413527012","0.471910648294729","0.459061319225925",
